,ingredient,total,recipes
0,butter,421929,36975
1,garlic,384999,32539
2,sugar,383695,31492
3,olive oil,377461,32429
4,egg,257308,24435
5,all-purpose flour,232159,21384
6,onion,216398,20171
7,vanilla extract,142113,11957
8,vegetable oil,126008,11680
9,brown sugar,124889,11073
10,lemon juice,112634,11366
11,chicken stock,106570,9134
12,milk,102732,10361
13,parsley,96136,9285
14,parsley,96136,9285
15,baking powder,89398,7949
16,cinnamon,87513,7652
17,carrot,83137,6529
18,heavy cream,82756,7376
19,cilantro,73483,5743
20,cilantro,73483,5743
21,red onion,72624,6225
22,baking soda,70784,6250
23,parmesan,66693,6492
24,bay leaf,64901,4656
25,shallot,62930,5210
26,wine vinegar,62855,5443
27,honey,61122,5787
28,soy sauce,59057,4950
29,tomato,58749,5418
30,canola oil,57917,3871
31,sour cream,57765,5545
32,white wine,57486,4944
33,cumin,57199,4594
34,egg yolk,54312,4649
35,lemon,54006,4948
36,thyme,52941,4875
37,thyme,52941,4875
38,lime juice,49923,4801
39,basil,46368,4926
40,dijon mustard,46075,4194
41,confectioner sugar,45389,4060
42,green onion,44460,4233
43,ginger,44120,4180
44,scallion,44088,3748
45,mayonnaise,42960,4432
46,red bell,41058,3528
47,paprika,39546,3384
48,cornstarch,39145,3439
49,worcestershire sauce,38801,3420
50,whole milk,37732,3460
51,garlic powder,36165,3601
52,egg white,35589,3356
53,chili powder,34985,2840
54,cream cheese,34757,3663
55,dried oregano,33984,2930
56,flour,32220,2729
57,orange juice,31856,3234
58,nutmeg,31699,2804
59,bread crumb,31078,2988
60,tomato paste,30958,2338
61,cider vinegar,30287,2731
62,cocoa powder,30078,2536
63,lime,29609,2491
64,buttermilk,29278,2460
65,lemon zest,29254,2674
66,walnut,28927,2952
67,sesame oil,28796,2312
68,celery,27676,2254
69,balsamic vinegar,27314,2800
70,ginger,25540,2124
71,red wine,24610,1976
72,black peppercorn,22816,1633
73,clove,21900,1743
74,beef,20442,2638
75,cooking spray,17956,2424
76,cheddar cheese,17782,3096
77,chocolate chip,17510,2696
78,hot sauce,16482,2025
79,pecan,14828,2236
80,fresh chive,14119,1929
81,whipping cream,13116,1951
82,almond,12982,2182
83,cream,12101,1796
84,sesame seed,11876,1577
85,mint leaf,11848,1826
86,zucchini,11716,2033
87,white onion,11495,1565
88,nutmeg,11451,1618
89,skinles,11449,2045
90,maple syrup,11132,1770
91,potato,10570,1986
92,mozzarella cheese,10539,1551
93,plum tomato,10170,1736
94,shrimp,10158,1715
95,leek,10142,1301
96,ketchup,10110,1813
97,dry yeast,10004,1488
98,cake flour,9928,1000
99,fresh rosemary,9919,1793
100,coriander,9600,1276
101,bacon,9477,1654
